Date : 2024-12-22 08:12:24
Directory : d:\final_project
Total : 2984 files,  759495 codes, 61800 comments, 171248 blanks, all 992543 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\final_project\.venv\Lib\site-packages\black\brackets.py                                                           | Python           |        312 |          4 |         67 |        383 |
| d:\final_project\.venv\Lib\site-packages\black\cache.py                                                              | Python           |        117 |          3 |         30 |        150 |
| d:\final_project\.venv\Lib\site-packages\black\comments.py                                                           | Python           |        332 |         30 |         54 |        416 |
| d:\final_project\.venv\Lib\site-packages\black\concurrency.py                                                        | Python           |        152 |         16 |         23 |        191 |
| d:\final_project\.venv\Lib\site-packages\black\const.py                                                              | Python           |          4 |          0 |          1 |          5 |
| d:\final_project\.venv\Lib\site-packages\black\debug.py                                                              | Python           |         43 |          2 |         10 |         55 |
| d:\final_project\.venv\Lib\site-packages\black\files.py                                                              | Python           |        344 |         14 |         76 |        434 |
| d:\final_project\.venv\Lib\site-packages\black\handle_ipynb_magics.py                                                | Python           |        385 |          6 |        107 |        498 |
| d:\final_project\.venv\Lib\site-packages\black\linegen.py                                                            | Python           |      1,364 |        211 |        240 |      1,815 |
| d:\final_project\.venv\Lib\site-packages\black\lines.py                                                              | Python           |        811 |         99 |        158 |      1,068 |
| d:\final_project\.venv\Lib\site-packages\black\mode.py                                                               | Python           |        258 |          9 |         30 |        297 |
| d:\final_project\.venv\Lib\site-packages\black\nodes.py                                                              | Python           |        784 |         34 |        216 |      1,034 |
| d:\final_project\.venv\Lib\site-packages\black\numerics.py                                                           | Python           |         47 |          1 |         14 |         62 |
| d:\final_project\.venv\Lib\site-packages\black\output.py                                                             | Python           |         93 |          3 |         27 |        123 |
| d:\final_project\.venv\Lib\site-packages\black\parsing.py                                                            | Python           |        176 |         30 |         47 |        253 |
| d:\final_project\.venv\Lib\site-packages\black\ranges.py                                                             | Python           |        410 |         54 |         58 |        522 |
| d:\final_project\.venv\Lib\site-packages\black\report.py                                                             | Python           |         85 |          2 |         21 |        108 |
| d:\final_project\.venv\Lib\site-packages\black\resources\__init__.py                                                 | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\black\resources\black.schema.json                                           | JSON             |        155 |          0 |          1 |        156 |
| d:\final_project\.venv\Lib\site-packages\black\rusty.py                                                              | Python           |         17 |          0 |         12 |         29 |
| d:\final_project\.venv\Lib\site-packages\black\schema.py                                                             | Python           |         11 |          0 |          5 |         16 |
| d:\final_project\.venv\Lib\site-packages\black\strings.py                                                            | Python           |        300 |         25 |         66 |        391 |
| d:\final_project\.venv\Lib\site-packages\black\trans.py                                                              | Python           |      1,836 |        276 |        419 |      2,531 |
| d:\final_project\.venv\Lib\site-packages\blackd\__init__.py                                                          | Python           |        213 |          8 |         38 |        259 |
| d:\final_project\.venv\Lib\site-packages\blackd\__main__.py                                                          | Python           |          2 |          0 |          2 |          4 |
| d:\final_project\.venv\Lib\site-packages\blackd\middlewares.py                                                       | Python           |         27 |          0 |          9 |         36 |
| d:\final_project\.venv\Lib\site-packages\blib2to3\__init__.py                                                        | Python           |          0 |          1 |          1 |          2 |
| d:\final_project\.venv\Lib\site-packages\blib2to3\pgen2\__init__.py                                                  | Python           |          1 |          2 |          2 |          5 |
| d:\final_project\.venv\Lib\site-packages\blib2to3\pgen2\conv.py                                                      | Python           |        212 |         13 |         32 |        257 |
| d:\final_project\.venv\Lib\site-packages\blib2to3\pgen2\driver.py                                                    | Python           |        249 |         21 |         49 |        319 |
| d:\final_project\.venv\Lib\site-packages\blib2to3\pgen2\grammar.py                                                   | Python           |        184 |          9 |         36 |        229 |
| d:\final_project\.venv\Lib\site-packages\blib2to3\pgen2\literals.py                                                  | Python           |         53 |          2 |         12 |         67 |
| d:\final_project\.venv\Lib\site-packages\blib2to3\pgen2\parse.py                                                     | Python           |        291 |         38 |         71 |        400 |
| d:\final_project\.venv\Lib\site-packages\blib2to3\pgen2\pgen.py                                                      | Python           |        338 |         36 |         44 |        418 |
| d:\final_project\.venv\Lib\site-packages\blib2to3\pgen2\token.py                                                     | Python           |         78 |          4 |         11 |         93 |
| d:\final_project\.venv\Lib\site-packages\blib2to3\pgen2\tokenize.py                                                  | Python           |        923 |         31 |        159 |      1,113 |
| d:\final_project\.venv\Lib\site-packages\blib2to3\pygram.py                                                          | Python           |        168 |         13 |         24 |        205 |
| d:\final_project\.venv\Lib\site-packages\blib2to3\pytree.py                                                          | Python           |        784 |         32 |        160 |        976 |
| d:\final_project\.venv\Lib\site-packages\build\__init__.py                                                           | Python           |         32 |          0 |          8 |         40 |
| d:\final_project\.venv\Lib\site-packages\build\__main__.py                                                           | Python           |        373 |          7 |         76 |        456 |
| d:\final_project\.venv\Lib\site-packages\build\_builder.py                                                           | Python           |        288 |          8 |         60 |        356 |
| d:\final_project\.venv\Lib\site-packages\build\_compat\__init__.py                                                   | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\build\_compat\importlib.py                                                  | Python           |         16 |          1 |          6 |         23 |
| d:\final_project\.venv\Lib\site-packages\build\_compat\tarfile.py                                                    | Python           |         21 |          3 |          9 |         33 |
| d:\final_project\.venv\Lib\site-packages\build\_compat\tomllib.py                                                    | Python           |         11 |          0 |          6 |         17 |
| d:\final_project\.venv\Lib\site-packages\build\_ctx.py                                                               | Python           |         66 |          2 |         31 |         99 |
| d:\final_project\.venv\Lib\site-packages\build\_exceptions.py                                                        | Python           |         49 |          0 |         17 |         66 |
| d:\final_project\.venv\Lib\site-packages\build\_types.py                                                             | Python           |         17 |          0 |          7 |         24 |
| d:\final_project\.venv\Lib\site-packages\build\_util.py                                                              | Python           |         39 |         10 |         15 |         64 |
| d:\final_project\.venv\Lib\site-packages\build\env.py                                                                | Python           |        258 |         34 |         81 |        373 |
| d:\final_project\.venv\Lib\site-packages\build\util.py                                                               | Python           |         47 |          1 |         14 |         62 |
| d:\final_project\.venv\Lib\site-packages\cachecontrol\__init__.py                                                    | Python           |         19 |          3 |          7 |         29 |
| d:\final_project\.venv\Lib\site-packages\cachecontrol\_cmd.py                                                        | Python           |         43 |          7 |         21 |         71 |
| d:\final_project\.venv\Lib\site-packages\cachecontrol\adapter.py                                                     | Python           |        114 |         20 |         28 |        162 |
| d:\final_project\.venv\Lib\site-packages\cachecontrol\cache.py                                                       | Python           |         51 |          3 |         21 |         75 |
| d:\final_project\.venv\Lib\site-packages\cachecontrol\caches\__init__.py                                             | Python           |          3 |          3 |          3 |          9 |
| d:\final_project\.venv\Lib\site-packages\cachecontrol\caches\file_cache.py                                           | Python           |        123 |         23 |         37 |        183 |
| d:\final_project\.venv\Lib\site-packages\cachecontrol\caches\redis_cache.py                                          | Python           |         34 |          3 |         12 |         49 |
| d:\final_project\.venv\Lib\site-packages\cachecontrol\controller.py                                                  | Python           |        350 |         69 |         81 |        500 |
| d:\final_project\.venv\Lib\site-packages\cachecontrol\filewrapper.py                                                 | Python           |         68 |         29 |         23 |        120 |
| d:\final_project\.venv\Lib\site-packages\cachecontrol\heuristics.py                                                  | Python           |        114 |          3 |         38 |        155 |
| d:\final_project\.venv\Lib\site-packages\cachecontrol\serialize.py                                                   | Python           |         99 |         23 |         25 |        147 |
| d:\final_project\.venv\Lib\site-packages\cachecontrol\wrapper.py                                                     | Python           |         33 |          3 |          8 |         44 |
| d:\final_project\.venv\Lib\site-packages\certifi\__init__.py                                                         | Python           |          3 |          0 |          2 |          5 |
| d:\final_project\.venv\Lib\site-packages\certifi\__main__.py                                                         | Python           |          9 |          0 |          4 |         13 |
| d:\final_project\.venv\Lib\site-packages\certifi\core.py                                                             | Python           |         56 |         37 |         22 |        115 |
| d:\final_project\.venv\Lib\site-packages\cffi\__init__.py                                                            | Python           |          8 |          3 |          4 |         15 |
| d:\final_project\.venv\Lib\site-packages\cffi\_cffi_errors.h                                                         | C++              |        111 |         16 |         23 |        150 |
| d:\final_project\.venv\Lib\site-packages\cffi\_cffi_include.h                                                        | C++              |        314 |         34 |         42 |        390 |
| d:\final_project\.venv\Lib\site-packages\cffi\_embedding.h                                                           | C++              |        311 |        172 |         68 |        551 |
| d:\final_project\.venv\Lib\site-packages\cffi\_imp_emulation.py                                                      | Python           |         66 |          5 |         13 |         84 |
| d:\final_project\.venv\Lib\site-packages\cffi\_shimmed_dist_utils.py                                                 | Python           |         31 |          7 |          8 |         46 |
| d:\final_project\.venv\Lib\site-packages\cffi\api.py                                                                 | Python           |        804 |         85 |         79 |        968 |
| d:\final_project\.venv\Lib\site-packages\cffi\backend_ctypes.py                                                      | Python           |        953 |         29 |        140 |      1,122 |
| d:\final_project\.venv\Lib\site-packages\cffi\cffi_opcode.py                                                         | Python           |        173 |          0 |         15 |        188 |
| d:\final_project\.venv\Lib\site-packages\cffi\commontypes.py                                                         | Python           |         65 |          3 |         15 |         83 |
| d:\final_project\.venv\Lib\site-packages\cffi\cparser.py                                                             | Python           |        807 |        163 |         46 |      1,016 |
| d:\final_project\.venv\Lib\site-packages\cffi\error.py                                                               | Python           |         26 |          0 |          6 |         32 |
| d:\final_project\.venv\Lib\site-packages\cffi\ffiplatform.py                                                         | Python           |         94 |          6 |         14 |        114 |
| d:\final_project\.venv\Lib\site-packages\cffi\lock.py                                                                | Python           |         11 |         15 |          5 |         31 |
| d:\final_project\.venv\Lib\site-packages\cffi\model.py                                                               | Python           |        483 |         34 |        102 |        619 |
| d:\final_project\.venv\Lib\site-packages\cffi\parse_c_type.h                                                         | C++              |        157 |          5 |         20 |        182 |
| d:\final_project\.venv\Lib\site-packages\cffi\pkgconfig.py                                                           | Python           |         95 |          4 |         23 |        122 |
| d:\final_project\.venv\Lib\site-packages\cffi\recompiler.py                                                          | Python           |      1,316 |        155 |        128 |      1,599 |
| d:\final_project\.venv\Lib\site-packages\cffi\setuptools_ext.py                                                      | Python           |        159 |         30 |         28 |        217 |
| d:\final_project\.venv\Lib\site-packages\cffi\vengine_cpy.py                                                         | Python           |        810 |        183 |         92 |      1,085 |
| d:\final_project\.venv\Lib\site-packages\cffi\vengine_gen.py                                                         | Python           |        531 |         87 |         62 |        680 |
| d:\final_project\.venv\Lib\site-packages\cffi\verifier.py                                                            | Python           |        255 |         18 |         34 |        307 |
| d:\final_project\.venv\Lib\site-packages\charset_normalizer\__init__.py                                              | Python           |         37 |          3 |          7 |         47 |
| d:\final_project\.venv\Lib\site-packages\charset_normalizer\__main__.py                                              | Python           |          3 |          0 |          2 |          5 |
| d:\final_project\.venv\Lib\site-packages\charset_normalizer\api.py                                                   | Python           |        582 |          8 |         79 |        669 |
| d:\final_project\.venv\Lib\site-packages\charset_normalizer\cd.py                                                    | Python           |        303 |          0 |         93 |        396 |
| d:\final_project\.venv\Lib\site-packages\charset_normalizer\cli\__init__.py                                          | Python           |          5 |          0 |          2 |          7 |
| d:\final_project\.venv\Lib\site-packages\charset_normalizer\cli\__main__.py                                          | Python           |        290 |          0 |         31 |        321 |
| d:\final_project\.venv\Lib\site-packages\charset_normalizer\constant.py                                              | Python           |      1,966 |         10 |         22 |      1,998 |
| d:\final_project\.venv\Lib\site-packages\charset_normalizer\legacy.py                                                | Python           |         48 |          3 |         15 |         66 |
| d:\final_project\.venv\Lib\site-packages\charset_normalizer\md.py                                                    | Python           |        492 |          7 |        130 |        629 |
| d:\final_project\.venv\Lib\site-packages\charset_normalizer\models.py                                                | Python           |        290 |         10 |         60 |        360 |
| d:\final_project\.venv\Lib\site-packages\charset_normalizer\utils.py                                                 | Python           |        303 |          3 |        116 |        422 |
| d:\final_project\.venv\Lib\site-packages\charset_normalizer\version.py                                               | Python           |          5 |          0 |          2 |          7 |
| d:\final_project\.venv\Lib\site-packages\cleo\__init__.py                                                            | Python           |          2 |          0 |          3 |          5 |
| d:\final_project\.venv\Lib\site-packages\cleo\_compat.py                                                             | Python           |          9 |          0 |          7 |         16 |
| d:\final_project\.venv\Lib\site-packages\cleo\_utils.py                                                              | Python           |         77 |          3 |         31 |        111 |
| d:\final_project\.venv\Lib\site-packages\cleo\application.py                                                         | Python           |        483 |         15 |        144 |        642 |
| d:\final_project\.venv\Lib\site-packages\cleo\color.py                                                               | Python           |        111 |          0 |         38 |        149 |
| d:\final_project\.venv\Lib\site-packages\cleo\commands\__init__.py                                                   | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\cleo\commands\base_command.py                                               | Python           |         98 |          0 |         42 |        140 |
| d:\final_project\.venv\Lib\site-packages\cleo\commands\command.py                                                    | Python           |        268 |          0 |         69 |        337 |
| d:\final_project\.venv\Lib\site-packages\cleo\commands\completions\__init__.py                                       | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\cleo\commands\completions\templates.py                                      | Python           |         84 |         10 |         32 |        126 |
| d:\final_project\.venv\Lib\site-packages\cleo\commands\completions_command.py                                        | Python           |        280 |         12 |         74 |        366 |
| d:\final_project\.venv\Lib\site-packages\cleo\commands\help_command.py                                               | Python           |         35 |          0 |         19 |         54 |
| d:\final_project\.venv\Lib\site-packages\cleo\commands\list_command.py                                               | Python           |         22 |          0 |         14 |         36 |
| d:\final_project\.venv\Lib\site-packages\cleo\cursor.py                                                              | Python           |         70 |          0 |         39 |        109 |
| d:\final_project\.venv\Lib\site-packages\cleo\descriptors\__init__.py                                                | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\cleo\descriptors\application_description.py                                 | Python           |         65 |          0 |         22 |         87 |
| d:\final_project\.venv\Lib\site-packages\cleo\descriptors\descriptor.py                                              | Python           |         38 |          0 |         14 |         52 |
| d:\final_project\.venv\Lib\site-packages\cleo\descriptors\text_descriptor.py                                         | Python           |        218 |          1 |         62 |        281 |
| d:\final_project\.venv\Lib\site-packages\cleo\events\__init__.py                                                     | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\cleo\events\console_command_event.py                                        | Python           |         21 |          0 |         14 |         35 |
| d:\final_project\.venv\Lib\site-packages\cleo\events\console_error_event.py                                          | Python           |         29 |          0 |         15 |         44 |
| d:\final_project\.venv\Lib\site-packages\cleo\events\console_event.py                                                | Python           |         20 |          0 |         11 |         31 |
| d:\final_project\.venv\Lib\site-packages\cleo\events\console_events.py                                               | Python           |          5 |         11 |          6 |         22 |
| d:\final_project\.venv\Lib\site-packages\cleo\events\console_signal_event.py                                         | Python           |         19 |          0 |         10 |         29 |
| d:\final_project\.venv\Lib\site-packages\cleo\events\console_terminate_event.py                                      | Python           |         18 |          0 |         11 |         29 |
| d:\final_project\.venv\Lib\site-packages\cleo\events\event.py                                                        | Python           |         11 |          0 |          6 |         17 |
| d:\final_project\.venv\Lib\site-packages\cleo\events\event_dispatcher.py                                             | Python           |         68 |          0 |         28 |         96 |
| d:\final_project\.venv\Lib\site-packages\cleo\exceptions\__init__.py                                                 | Python           |         67 |          0 |         28 |         95 |
| d:\final_project\.venv\Lib\site-packages\cleo\formatters\__init__.py                                                 | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\cleo\formatters\formatter.py                                                | Python           |        148 |          3 |         50 |        201 |
| d:\final_project\.venv\Lib\site-packages\cleo\formatters\style.py                                                    | Python           |         49 |          0 |         20 |         69 |
| d:\final_project\.venv\Lib\site-packages\cleo\formatters\style_stack.py                                              | Python           |         29 |          0 |         14 |         43 |
| d:\final_project\.venv\Lib\site-packages\cleo\helpers.py                                                             | Python           |         36 |          0 |          7 |         43 |
| d:\final_project\.venv\Lib\site-packages\cleo\io\__init__.py                                                         | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\cleo\io\buffered_io.py                                                      | Python           |         40 |          0 |         16 |         56 |
| d:\final_project\.venv\Lib\site-packages\cleo\io\inputs\__init__.py                                                  | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\cleo\io\inputs\argument.py                                                  | Python           |         53 |          0 |         16 |         69 |
| d:\final_project\.venv\Lib\site-packages\cleo\io\inputs\argv_input.py                                                | Python           |        213 |         19 |         63 |        295 |
| d:\final_project\.venv\Lib\site-packages\cleo\io\inputs\definition.py                                                | Python           |        157 |          2 |         56 |        215 |
| d:\final_project\.venv\Lib\site-packages\cleo\io\inputs\input.py                                                     | Python           |        136 |          0 |         44 |        180 |
| d:\final_project\.venv\Lib\site-packages\cleo\io\inputs\option.py                                                    | Python           |         71 |          0 |         26 |         97 |
| d:\final_project\.venv\Lib\site-packages\cleo\io\inputs\string_input.py                                              | Python           |         12 |          0 |          7 |         19 |
| d:\final_project\.venv\Lib\site-packages\cleo\io\inputs\token_parser.py                                              | Python           |         80 |          3 |         30 |        113 |
| d:\final_project\.venv\Lib\site-packages\cleo\io\io.py                                                               | Python           |        107 |          0 |         34 |        141 |
| d:\final_project\.venv\Lib\site-packages\cleo\io\null_io.py                                                          | Python           |         10 |          0 |          7 |         17 |
| d:\final_project\.venv\Lib\site-packages\cleo\io\outputs\__init__.py                                                 | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\cleo\io\outputs\buffered_output.py                                          | Python           |         47 |          0 |         16 |         63 |
| d:\final_project\.venv\Lib\site-packages\cleo\io\outputs\null_output.py                                              | Python           |         44 |          0 |         17 |         61 |
| d:\final_project\.venv\Lib\site-packages\cleo\io\outputs\output.py                                                   | Python           |         88 |          0 |         32 |        120 |
| d:\final_project\.venv\Lib\site-packages\cleo\io\outputs\section_output.py                                           | Python           |         78 |          3 |         26 |        107 |
| d:\final_project\.venv\Lib\site-packages\cleo\io\outputs\stream_output.py                                            | Python           |        115 |          5 |         35 |        155 |
| d:\final_project\.venv\Lib\site-packages\cleo\loaders\__init__.py                                                    | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\cleo\loaders\command_loader.py                                              | Python           |         21 |          0 |          8 |         29 |
| d:\final_project\.venv\Lib\site-packages\cleo\loaders\factory_command_loader.py                                      | Python           |         21 |          0 |         12 |         33 |
| d:\final_project\.venv\Lib\site-packages\cleo\terminal.py                                                            | Python           |         51 |          2 |         15 |         68 |
| d:\final_project\.venv\Lib\site-packages\cleo\testers\__init__.py                                                    | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\cleo\testers\application_tester.py                                          | Python           |         58 |          0 |         18 |         76 |
| d:\final_project\.venv\Lib\site-packages\cleo\testers\command_tester.py                                              | Python           |         68 |          2 |         21 |         91 |
| d:\final_project\.venv\Lib\site-packages\cleo\ui\__init__.py                                                         | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\cleo\ui\choice_question.py                                                  | Python           |        108 |          2 |         37 |        147 |
| d:\final_project\.venv\Lib\site-packages\cleo\ui\component.py                                                        | Python           |          3 |          0 |          3 |          6 |
| d:\final_project\.venv\Lib\site-packages\cleo\ui\confirmation_question.py                                            | Python           |         32 |          0 |         15 |         47 |
| d:\final_project\.venv\Lib\site-packages\cleo\ui\exception_trace.py                                                  | Python           |        347 |          5 |         81 |        433 |
| d:\final_project\.venv\Lib\site-packages\cleo\ui\progress_bar.py                                                     | Python           |        320 |          9 |         98 |        427 |
| d:\final_project\.venv\Lib\site-packages\cleo\ui\progress_indicator.py                                               | Python           |        157 |          0 |         59 |        216 |
| d:\final_project\.venv\Lib\site-packages\cleo\ui\question.py                                                         | Python           |        197 |         16 |         62 |        275 |
| d:\final_project\.venv\Lib\site-packages\cleo\ui\table.py                                                            | Python           |        576 |          8 |        159 |        743 |
| d:\final_project\.venv\Lib\site-packages\cleo\ui\table_cell.py                                                       | Python           |         32 |          0 |         10 |         42 |
| d:\final_project\.venv\Lib\site-packages\cleo\ui\table_cell_style.py                                                 | Python           |         39 |          0 |         16 |         55 |
| d:\final_project\.venv\Lib\site-packages\cleo\ui\table_separator.py                                                  | Python           |          5 |          0 |          4 |          9 |
| d:\final_project\.venv\Lib\site-packages\cleo\ui\table_style.py                                                      | Python           |        230 |          0 |         47 |        277 |
| d:\final_project\.venv\Lib\site-packages\cleo\ui\ui.py                                                               | Python           |         20 |          0 |         10 |         30 |
| d:\final_project\.venv\Lib\site-packages\click-8.1.7.dist-info\LICENSE.rst                                           | reStructuredText |         23 |          0 |          6 |         29 |
| d:\final_project\.venv\Lib\site-packages\click\__init__.py                                                           | Python           |         72 |          0 |          2 |         74 |
| d:\final_project\.venv\Lib\site-packages\click\_compat.py                                                            | Python           |        458 |         39 |        127 |        624 |
| d:\final_project\.venv\Lib\site-packages\click\_termui_impl.py                                                       | Python           |        546 |         74 |        120 |        740 |
| d:\final_project\.venv\Lib\site-packages\click\_textwrap.py                                                          | Python           |         39 |          0 |         11 |         50 |
| d:\final_project\.venv\Lib\site-packages\click\_winconsole.py                                                        | Python           |        215 |         11 |         54 |        280 |
| d:\final_project\.venv\Lib\site-packages\click\core.py                                                               | Python           |      2,309 |        177 |        557 |      3,043 |
| d:\final_project\.venv\Lib\site-packages\click\decorators.py                                                         | Python           |        418 |         13 |        131 |        562 |
| d:\final_project\.venv\Lib\site-packages\click\exceptions.py                                                         | Python           |        220 |          2 |         67 |        289 |
| d:\final_project\.venv\Lib\site-packages\click\formatting.py                                                         | Python           |        246 |          3 |         53 |        302 |
| d:\final_project\.venv\Lib\site-packages\click\globals.py                                                            | Python           |         47 |          0 |         22 |         69 |
| d:\final_project\.venv\Lib\site-packages\click\parser.py                                                             | Python           |        369 |         72 |         89 |        530 |
| d:\final_project\.venv\Lib\site-packages\click\shell_completion.py                                                   | Python           |        448 |         21 |        128 |        597 |
| d:\final_project\.venv\Lib\site-packages\click\termui.py                                                             | Python           |        630 |         17 |        138 |        785 |
| d:\final_project\.venv\Lib\site-packages\click\testing.py                                                            | Python           |        386 |         12 |         82 |        480 |
| d:\final_project\.venv\Lib\site-packages\click\types.py                                                              | Python           |        809 |         51 |        230 |      1,090 |
| d:\final_project\.venv\Lib\site-packages\click\utils.py                                                              | Python           |        471 |         26 |        128 |        625 |
| d:\final_project\.venv\Lib\site-packages\colorama\__init__.py                                                        | Python           |          4 |          1 |          3 |          8 |
| d:\final_project\.venv\Lib\site-packages\colorama\ansi.py                                                            | Python           |         77 |          6 |         20 |        103 |
| d:\final_project\.venv\Lib\site-packages\colorama\ansitowin32.py                                                     | Python           |        209 |         25 |         44 |        278 |
| d:\final_project\.venv\Lib\site-packages\colorama\initialise.py                                                      | Python           |         83 |          8 |         31 |        122 |
| d:\final_project\.venv\Lib\site-packages\colorama\tests\__init__.py                                                  | Python           |          0 |          1 |          1 |          2 |
| d:\final_project\.venv\Lib\site-packages\colorama\tests\ansi_test.py                                                 | Python           |         55 |          5 |         17 |         77 |
| d:\final_project\.venv\Lib\site-packages\colorama\tests\ansitowin32_test.py                                          | Python           |        243 |          8 |         44 |        295 |
| d:\final_project\.venv\Lib\site-packages\colorama\tests\initialise_test.py                                           | Python           |        145 |         10 |         35 |        190 |
| d:\final_project\.venv\Lib\site-packages\colorama\tests\isatty_test.py                                               | Python           |         43 |          1 |         14 |         58 |
| d:\final_project\.venv\Lib\site-packages\colorama\tests\utils.py                                                     | Python           |         41 |          1 |          8 |         50 |
| d:\final_project\.venv\Lib\site-packages\colorama\tests\winterm_test.py                                              | Python           |         99 |          1 |         32 |        132 |
| d:\final_project\.venv\Lib\site-packages\colorama\win32.py                                                           | Python           |        146 |         10 |         25 |        181 |
| d:\final_project\.venv\Lib\site-packages\colorama\winterm.py                                                         | Python           |        143 |         29 |         24 |        196 |
| d:\final_project\.venv\Lib\site-packages\crashtest\__init__.py                                                       | Python           |          2 |          0 |          3 |          5 |
| d:\final_project\.venv\Lib\site-packages\crashtest\contracts\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\crashtest\contracts\base_solution.py                                        | Python           |         16 |          0 |          7 |         23 |
| d:\final_project\.venv\Lib\site-packages\crashtest\contracts\has_solutions_for_exception.py                          | Python           |          9 |          0 |          7 |         16 |
| d:\final_project\.venv\Lib\site-packages\crashtest\contracts\provides_solution.py                                    | Python           |          8 |          0 |          6 |         14 |
| d:\final_project\.venv\Lib\site-packages\crashtest\contracts\solution.py                                             | Python           |         11 |          0 |          5 |         16 |
| d:\final_project\.venv\Lib\site-packages\crashtest\contracts\solution_provider_repository.py                         | Python           |         15 |          0 |          8 |         23 |
| d:\final_project\.venv\Lib\site-packages\crashtest\frame.py                                                          | Python           |         60 |          0 |         22 |         82 |
| d:\final_project\.venv\Lib\site-packages\crashtest\frame_collection.py                                               | Python           |         55 |          0 |         23 |         78 |
| d:\final_project\.venv\Lib\site-packages\crashtest\inspector.py                                                      | Python           |         36 |          0 |         15 |         51 |
| d:\final_project\.venv\Lib\site-packages\crashtest\solution_providers\__init__.py                                    | Python           |          0 |          0 |          1 |          1 |
| d:\final_project\.venv\Lib\site-packages\crashtest\solution_providers\solution_provider_repository.py                | Python           |         45 |          0 |         18 |         63 |
| d:\final_project\.venv\Lib\site-packages\cryptography\__about__.py                                                   | Python           |          9 |          3 |          6 |         18 |
| d:\final_project\.venv\Lib\site-packages\cryptography\__init__.py                                                    | Python           |          7 |          3 |          4 |         14 |
| d:\final_project\.venv\Lib\site-packages\cryptography\exceptions.py                                                  | Python           |         28 |          3 |         22 |         53 |
| d:\final_project\.venv\Lib\site-packages\cryptography\fernet.py                                                      | Python           |        172 |          4 |         40 |        216 |
| d:\final_project\.venv\Lib\site-packages\cryptography\hazmat\__init__.py                                             | Python           |          7 |          3 |          4 |         14 |
| d:\final_project\.venv\Lib\site-packages\cryptography\hazmat\_oid.py                                                 | Python           |        281 |          4 |         29 |        314 |
| d:\final_project\.venv\Lib\site-packages\cryptography\hazmat\backends\__init__.py                                    | Python           |          5 |          3 |          6 |         14 |
| d:\final_project\.venv\Lib\site-packages\cryptography\hazmat\backends\openssl\__init__.py                            | Python           |          3 |          3 |          4 |         10 |
| d:\final_project\.venv\Lib\site-packages\cryptography\hazmat\backends\openssl\backend.py                             | Python           |        226 |         17 |         49 |        292 |
| d:\final_project\.venv\Lib\site-packages\cryptography\hazmat\bindings\__init__.py                                    | Python           |          0 |          3 |          1 |          4 |
| d:\final_project\.venv\Lib\site-packages\cryptography\hazmat\bindings\_rust\__init__.pyi                             | Python           |         15 |          3 |          7 |         25 |
| d:\final_project\.venv\Lib\site-packages\cryptography\hazmat\bindings\_rust\_openssl.pyi                             | Python           |          3 |          3 |          3 |          9 |
| d:\final_project\.venv\Lib\site-packages\cryptography\hazmat\bindings\_rust\asn1.pyi                                 | Python           |          3 |          3 |          2 |          8 |
| d:\final_project\.venv\Lib\site-packages\cryptography\hazmat\bindings\_rust\exceptions.pyi                           | Python           |         13 |          3 |          2 |         18 |
| d:\final_project\.venv\Lib\site-packages\cryptography\hazmat\bindings\_rust\ocsp.pyi                                 | Python           |         17 |          3 |          4 |         24 |
| d:\final_project\.venv\Lib\site-packages\cryptography\hazmat\bindings\_rust\openssl\__init__.pyi                     | Python           |         60 |          3 |          9 |         72 |
| d:\final_project\.venv\Lib\site-packages\cryptography\hazmat\bindings\_rust\openssl\aead.pyi                         | Python           |         94 |          3 |          7 |        104 |
| d:\final_project\.venv\Lib\site-packages\cryptography\hazmat\bindings\_rust\openssl\ciphers.pyi                      | Python           |         31 |          3 |          5 |         39 |
| d:\final_project\.venv\Lib\site-packages\cryptography\hazmat\bindings\_rust\openssl\cmac.pyi                         | Python           |         12 |          3 |          4 |         19 |
| d:\final_project\.venv\Lib\site-packages\cryptography\hazmat\bindings\_rust\openssl\dh.pyi                           | Python           |         40 |          3 |          9 |         52 |
| d:\final_project\.venv\Lib\site-packages\cryptography\hazmat\bindings\_rust\openssl\dsa.pyi                          | Python           |         31 |          3 |          8 |         42 |
